# de_names,final_losses,final_errors,first_epoch_under_threshold,time_to_threshold,total_training_time
test_de,6.140010668786999e-07,0.035416286,1058,13.996546957,123.23726035099999
kirchhoff,0.0672122985124588,6.434458,None,None,131.702327159
newtons_first,1.7295179759457824e-06,5.408068,4984,66.30610147599998,124.46887816700001
newtons_second_law,0.01719951629638672,4.7344975,None,None,133.330999368
second_order_euler_test,21.622596740722656,nan,None,None,134.79487427800007
second_order_euler,0.001176791382022202,nan,None,None,139.184189286
second_1,0.0002617446589283645,nan,None,None,139.11589781400005
second_2,0.04012548178434372,nan,None,None,164.34204552899996
new_2nd_linear_1,1.9571498341974802e-05,nan,None,None,190.96931447200018
new_2nd_linear_2,0.0005082821589894593,nan,None,None,188.20256156300002
new_2nd_linear_3,9.676673471403774e-07,nan,1038,16.20114598400005,152.42128102900006
third_order,2694.056396484375,nan,None,None,238.18618205500002
third_order_2,nan,nan,None,None,201.8620534260001
third_order_3,6.130682595539838e-05,nan,None,None,197.41624096299984
logistic_equation,1.9740242350962944e-05,nan,None,None,135.4284527259997
nonlinear,0.014072803780436516,nan,None,None,132.36675980399968
painleve_2_transcendent,3.1301060516852885e-05,None,7392,85.60004058699997,116.77073946900009
second_order_nonlinear,1.1374781731755476e-14,nan,50,1.333411346000048,135.24505883500024
van_der_pol,2.399336381131434e-06,None,8389,113.53821554900014,136.34957883100014
new_2nd_nonlinear_1,7.636143939393492e-10,nan,113,2.6680605869996725,160.89571509799998
new_2nd_nonlinear_2,39327.5234375,nan,None,None,181.08502225700022
third_order_nonlin,1.9724659068742767e-05,nan,None,None,212.63529604300038
third_order_v2,0.029017124325037003,nan,None,None,227.44549130099995
